id,est_id,date,extra_credit,grade,score,final_score,type
897965,56148,2006-06-13,Y,A,100.0,102.0,1 - INSPECTION
897966,56148,2006-08-10,Y,A,100.0,102.0,1 - INSPECTION
897967,56148,2006-12-01,Y,A,100.0,102.0,1 - INSPECTION
897969,56148,2007-06-01,N,A,100.0,100.0,1 - INSPECTION
897989,56149,2000-04-06,N,A,100.0,100.0,1 - INSPECTION
898004,56149,2004-02-02,N,A,100.0,100.0,1 - INSPECTION
898006,56149,2004-09-22,N,A,100.0,100.0,1 - INSPECTION
898011,56149,2006-05-17,N,A,100.0,100.0,1 - INSPECTION
898015,56149,2007-04-11,N,A,100.0,100.0,1 - INSPECTION
898016,56149,2007-07-06,N,A,100.0,100.0,1 - INSPECTION
898017,56149,2008-01-28,N,A,100.0,100.0,1 - INSPECTION
898033,56150,2000-02-29,N,A,100.0,100.0,1 - INSPECTION
898036,56150,2000-12-20,N,A,100.0,100.0,1 - INSPECTION
898039,56150,2001-08-31,N,A,100.0,100.0,1 - INSPECTION
898040,56150,2001-12-12,N,A,100.0,100.0,1 - INSPECTION
898046,56150,2003-04-24,N,A,100.0,100.0,1 - INSPECTION
898053,56150,2005-02-10,N,A,100.0,100.0,1 - INSPECTION
898058,56150,2006-02-02,N,A,100.0,100.0,1 - INSPECTION
898059,56150,2006-04-26,N,A,100.0,100.0,1 - INSPECTION
898066,56150,2008-03-04,N,A,100.0,100.0,1 - INSPECTION
898328,56168,2000-03-02,Y,A,100.0,102.0,1 - INSPECTION
898330,56168,2000-09-12,Y,A,100.0,102.0,1 - INSPECTION
898333,56168,2001-11-12,N,A,100.0,100.0,1 - INSPECTION
898334,56168,2002-01-22,Y,A,100.0,102.0,1 - INSPECTION
898341,56168,2003-07-29,Y,A,100.0,102.0,1 - INSPECTION
898348,56168,2005-09-20,Y,A,100.0,102.0,1 - INSPECTION
898354,56168,2007-02-19,Y,A,100.0,102.0,1 - INSPECTION
1539888,59618,2012-03-09,N,A,100.0,100.0,1 - INSPECTION
1539890,55981,2012-03-08,Y,A,96.0,98.0,1 - INSPECTION
1540004,98003,2012-03-11,N,,1.0,1.0,1 - INSPECTION
1540008,57448,2012-03-08,N,A,97.0,97.0,1 - INSPECTION
1540012,57657,2012-03-06,Y,A,99.0,101.0,1 - INSPECTION
1540101,57682,2012-03-12,N,,,,CVV - CRITICAL VIOLATION VISIT
1540126,58100,2012-03-12,Y,A,98.0,100.0,1 - INSPECTION
1540180,57229,2012-03-01,N,A,92.0,92.0,1 - INSPECTION
1540276,56964,2012-03-13,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1540280,57154,2012-03-13,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1540283,56817,2012-03-13,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1540286,76605,2012-03-13,N,,,,CVF - CRITICAL VIOLATION FOLLOWUP
1540517,58373,2012-03-12,N,A,99.0,99.0,1 - INSPECTION
1540591,56657,2012-03-15,Y,A,98.0,100.0,1 - INSPECTION
1540665,66036,2012-03-14,Y,A,98.0,100.0,1 - INSPECTION
2295737,58110,2013-09-24,N,A,99.0,99.0,1 - INSPECTION
2296575,56864,2013-10-04,N,A,90.0,90.0,1 - INSPECTION
2296880,58080,2013-10-07,N,A,100.0,100.0,1 - INSPECTION
2296882,58099,2013-10-07,N,A,99.0,99.0,1 - INSPECTION
2296904,116552,2013-10-04,N,,,,VERIFICATION
2296923,116820,2013-10-07,N,,,,S - STATUS CHANGE
2296983,55702,2013-10-07,N,A,100.0,100.0,1 - INSPECTION
